,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Brian,Clay,Jan,Helen,Ted,Jake,Penny,Ken,Erin,Shii Ann,Robb,Stephanie,Ghandia,Jed,Tanya,John,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,John,6-1-1,John,John,John,Clay,John,-,-,-,-,-,-,-,John,-,John,Ghandia,[],False,{},False,{},True,0,False,False,,1,"""The Importance of Being Eldest""","September 19, 2002",None,Sook Jai,"['John', '6-1-1']",1st Voted OutDay 3,23.05,9.6/28,John,['Sook Jai'],0.5
1,2,Original Tribes,2,Tanya,5-2,Tanya,Tanya,Tanya,Tanya,Tanya,-,-,-,-,-,-,-,Helen,-,Helen,,[],False,{},False,{},True,0,False,False,,2,"""The Great Divide""","September 26, 2002",Sook Jai,Sook Jai,"['Tanya', '5-2']",2nd Voted OutDay 6,21.72,8.6/21,Tanya,['Sook Jai'],0.5
2,3,Original Tribes,3,Jed,5-3,-,-,-,-,-,Jed,Jed,Jed,Jed,Jed,Shii Ann,Shii Ann,-,Shii Ann,,,[],False,{},False,{},True,0,False,False,,3,"""Family Values""","October 3, 2002",Chuay Gahn,Chuay Gahn,"['Jed', '5-3']",3rd Voted OutDay 9,20.60,8.5/N/A,Jed,['Chuay Gahn'],0.5
3,4,Original Tribes,4,Ghandia,4-2,Ghandia,Ghandia,Clay,Ghandia,Ghandia,-,-,-,-,-,-,-,Clay,,,,[],False,{},False,{},True,0,False,False,,4,"""Gender Bender""","October 10, 2002",Sook Jai,Sook Jai,"['Ghandia', '4-2']",4th Voted OutDay 12,21.16,8.6/22,Ghandia,['Sook Jai'],0.5
4,5,Original Tribes,5,Stephanie,5-2,-,-,-,-,-,Stephanie,Stephanie,Stephanie,Stephanie,Stephanie,Shii Ann,Shii Ann,,,,,[],False,{},False,{},True,0,False,False,,5,"""The Ocean's Surprise""","October 17, 2002","SurvivorAuctionBefore the challenge, the tribes were given $1000 via Tree Mail. The host will reveal various items, where some are remained covered until they sold. Tribes must outbid each other.",Chuay Gahn,"['Stephanie', '5-2']",5th Voted OutDay 15,N/A,8.3/23,Stephanie,['Chuay Gahn'],0.5
5,6,Original Tribes,6,Robb,5-1,-,-,-,-,-,Robb,Robb,Robb,Robb,Robb,Shii Ann,,,,,,[],False,{},False,{},True,0,False,False,,6,"""The Power of One""","October 24, 2002",Sook Jai,Chuay Gahn,"['Robb', '5-1']",6th Voted OutDay 18,20.80,8.4/N/A,Robb,['Chuay Gahn'],0.5
6,7,Original Tribes,7,Shii Ann,4-1,-,-,-,-,-,Shii Ann,Shii Ann,Shii Ann,Shii Ann,Penny,,,,,,,[],False,{},False,{},True,0,False,False,,7,"""Assumptions""","October 31, 2002",None,Chuay Gahn,"['Shii Ann', '4-1']",7th Voted OutDay 21,N/A,7.5/N/A,Shii Ann,['Chuay Gahn'],0.5
7,8,Original Tribes,8,Erin,3-1,-,-,-,-,-,Erin,Erin,Erin,Ken,,,,,,,,[],False,{},False,{},True,0,False,False,,8,"""Sleeping with the Enemy""","November 7, 2002",None,Chuay Gahn,"['Erin', '3-1']",8th Voted Out1st Jury MemberDay 24,N/A,N/A,Erin,['Chuay Gahn'],0.5
8,9,Merged Tribe,9,Ken,5-3,Ken,Ken,Ken,Ken,Ken,Ted,Ted,Ted,,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""Desperate Measures""","November 14, 2002",Brian,Clay,"['Ken', '5-3']",9th Voted Out2nd Jury MemberDay 27,21.62,8.6/22,Ken,['Clay'],0.125
9,10,Merged Tribe,10,Penny,4-2-1,Penny,Jake,Penny,Penny,Penny,Jan,Jake,,,,,,,,,,[],False,{},False,{},True,1,True,False,,10,"""While the Cats Are Away""","November 21, 2002",Brian[Clay],Helen,"['Penny', '4-2-1']",10th Voted Out3rd Jury MemberDay 30,N/A,N/A,Penny,['Helen'],0.14285714285714285
10,11,Merged Tribe,12,Jake,5-1,Jake,Jake,Jake,Jake,Jake,Jan,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,12,"""A Big Surprise... and Another""","December 5, 2002",Helen,Ted,"['Jake', '5-1']",11th Voted Out4th Jury MemberDay 33,21.50,8.6/N/A,Jake,['Ted'],0.16666666666666666
11,12,Merged Tribe,13,Ted,4-1,Ted,Ted,Ted,Ted,Jan,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,13,"""The Tides Are Turning""","December 12, 2002",Ted[Helen],Brian,"['Ted', '4-1']",12th Voted Out5th Jury MemberDay 36,19.00,7.4/N/A,Ted,['Brian'],0.2
12,13,Merged Tribe,14,Helen,3-1,Helen,Helen,Helen,Jan,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,14,"""Slip Through Your Fingers""","December 19, 2002",None,Brian,"['Helen', '3-1']",13th Voted Out6th Jury MemberDay 37,24.08,9.9/26,Helen,['Brian'],0.25
13,14,Merged Tribe,14,Jan,1-0,Jan,None,None,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,14,"""Slip Through Your Fingers""","December 19, 2002",None,Brian,"['Jan', '1-0']",14th Voted Out7th Jury MemberDay 38,24.08,9.9/26,Jan,['Brian'],0.3333333333333333
14,15,Merged Tribe,14,Brian,4-3,Jury Vote,Jury Vote,Brian,Brian,Brian,Brian,Clay,Clay,Clay,,,,,,,,[],False,{},False,{},True,1,True,True,"['Clay', 'Brian']",14,"""Slip Through Your Fingers""","December 19, 2002",Jury Vote,Jury Vote,"['Brian', '4-3']",Sole Survivor,24.08,9.9/26,Brian,[],
