,Idx,Episode,Air date,Reward,Immunity,Medallion of Power,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Immunity_2
0,1,"""Young at Heart""","September 15, 2010",La Flor,La Flor,✘,"['Wendy', '9-1']",1st Voted OutDay 3,12.23,4.0/13,['La Flor']
1,2,"""Fatigue Makes Cowards of Us All""","September 22, 2010",Espada,Espada,✔,"['Shannon', '7-3']",2nd Voted OutDay 6,12.59,4.0/12,['Espada']
2,3,"""Glitter in Their Eyes""","September 29, 2010",La Flor,La Flor,✘,"['Jimmy J.', '8-1']",3rd Voted OutDay 8,12.26,3.5/11,['La Flor']
3,4,"""Pulling the Trigger""","October 6, 2010",La Flor,La Flor,✔,"['Jimmy T.', '5-3']",4th Voted OutDay 11,12.05,3.8/11,['La Flor']
4,5,"""Turf Wars""","October 13, 2010",Espada,La Flor,,"['Tyrone', '6-2']",5th Voted OutDay 14,12.32,3.8/11,['La Flor']
5,6,"""Worst Case Scenario""","October 20, 2010",La Flor,Jill,,"['Kelly B.', '3-3-2;5-1']",6th Voted OutDay 15,12.26,3.6/11,['Jill']
6,6,"""Worst Case Scenario""","October 20, 2010",La Flor,Holly,,"['Yve', '6-1']",7th Voted OutDay 15,12.26,3.6/11,['Holly']
7,7,"""What Goes Around, Comes Around""","October 27, 2010",Espada,Espada,,"['Jill', '3-2-2']",8th Voted OutDay 18,11.82,3.5/10,['Espada']
8,8,"""Company Will Be Arriving Soon""","November 3, 2010",None,"['Jane', 'Fabio']",,"['Alina', '10-2']",9th Voted Out1st Jury MemberDay 22,12.30,3.7/11,"['Jane', 'Fabio']"
9,9,"""Running the Camp""","November 10, 2010","Benry, Dan,Fabio,Marty, Sash",Brenda,,"['Marty', '7-4']",10th Voted Out2nd Jury MemberDay 24,11.29,3.2/10,['Brenda']
10,10,"""Stuck in the Middle""","November 17, 2010","Chase,Fabio, Jane,Kelly S.,NaOnka",Jane,,"['Brenda', '8-1-1']",11th Voted Out3rd Jury MemberDay 27,11.98,3.5/10,['Jane']
11,11,"""We Did It Guys""","November 24, 2010",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
12,12,"""You Started, You're Finishing""","December 1, 2010","Benry,Chase,Holly,NaOnka[Dan]",None,,"['NaOnka', 'No Vote']",Quit4th Jury MemberDay 28,12.26,3.6/11,[]
13,12,"""You Started, You're Finishing""","December 1, 2010","Benry,Chase,Holly,NaOnka[Dan]",None,,"['Kelly S.', 'No Vote']",Quit5th Jury MemberDay 28,12.26,3.6/11,[]
14,13,"""Not Sure Where I Stand""","December 8, 2010","Chase[Holly,Jane]",Sash,,"['Benry', '4-2-1']",12th Voted Out6th Jury MemberDay 32,12.13,3.6/10,['Sash']
15,14,"""This Is Going to Hurt""","December 15, 2010","Chase[Holly,Sash]",Fabio,,"['Jane', '5-0']",13th Voted Out7th Jury MemberDay 36,12.32,3.5/11,['Fabio']
16,15,"""What About Me?""","December 19, 2010",None,Fabio,,"['Dan', '4-1']",14th Voted Out8th Jury MemberDay 37,13.59,4.1/11,['Fabio']
17,15,"""What About Me?""","December 19, 2010",None,Fabio,,"['Holly', '3-1']",15th Voted Out9th Jury MemberDay 38,13.59,4.1/11,['Fabio']
18,15,"""What About Me?""","December 19, 2010",Jury Vote,Jury Vote,,"['Sash', '5-4-0']",Second Runner-Up,13.59,4.1/11,[]
19,15,"""What About Me?""","December 19, 2010",Jury Vote,Jury Vote,,"['Chase', '5-4-0']",Runner-Up,13.59,4.1/11,[]
20,15,"""What About Me?""","December 19, 2010",Jury Vote,Jury Vote,,"['Fabio', '5-4-0']",Sole Survivor,13.59,4.1/11,[]
21,16,"""Reunion""","December 19, 2010",,,,,,11.19,3.4/9,[]
