,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Ronnie Bardah,Ronnie,[],36,Henderson,NV,Professional Poker Player,Lairo,,,1st Voted OutDay 3,7,20.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,7
1,Molly Byman,Molly,[],28,Durham,NC,Law Student,Vokai,,,2nd Voted OutDay 6,7,19.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,7
2,Vince Moua,Vince,[],27,Palo Alto,CA,Admissions Counselor,Lairo,,,3rd Voted OutDay 8,7,18.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.3333333333333333,,0,7
3,Chelsea Walker,Chelsea,[],27,Los Angeles,CA,Digital Content Creator,Lairo,,,4th Voted OutDay 11,6,17.0,False,False,False,4,False,4,1,0,0,5,4,1,3,0,2,1,0.25,,0,6
4,Tom Laidlaw,Tom,[],60,Greenwich,CT,Former NHL Player,Lairo,Lairo,,5th Voted OutDay 14,6,16.0,False,False,False,5,False,5,1,0,0,6,5,1,4,0,2,2,0.2,,0,6
5,Jason Linden,Jason,[],32,New York City,NY,Personal Injury Lawyer,Vokai,Vokai,,6th Voted OutDay 16,6,15.0,False,False,False,6,False,6,4,0,0,7,6,4,1,1,1,0,0.6666666666666666,,0,6
6,Jack Nichting,Jack,[],23,Harrisonburg,VA,Graduate Student,Vokai,Lairo,,7th Voted Out1st Jury MemberDay 19,2,14.0,False,False,False,7,False,7,4,0,0,8,7,4,3,0,1,2,0.5714285714285714,,0,2
7,Kellee Kim,Kellee,[],29,Philadelphia,PA,MBA Student,Vokai,Lairo,Lumuwaku,8th Voted Out2nd Jury MemberDay 22,8,13.0,False,False,False,8,True,7,4,1,0,9,8,4,4,0,2,2,0.5,0.0,0,8
8,Jamal Shipman,Jamal,[],33,Providence,RI,College Administrator,Vokai,Lairo,Lumuwaku,9th Voted Out3rd Jury MemberDay 24,6,12.0,False,False,False,9,True,7,4,2,0,10,9,4,4,1,1,3,0.4444444444444444,0.0,0,6
9,Aaron Meredith,Aaron,[],36,Warwick,RI,Gym Owner,Lairo,Vokai,Lumuwaku,10th Voted Out4th Jury MemberDay 27,5,11.0,False,False,False,10,True,7,3,3,2,11,10,3,7,0,4,3,2.0,5.666666666666667,0,5
10,Missy Byrd,Missy,[],24,Tacoma,WA,Air Force Veteran,Lairo,Vokai,Lumuwaku,11th Voted Out5th Jury MemberDay 27,3,10.0,False,False,False,11,True,7,3,4,1,12,11,4,7,0,5,2,0.7272727272727273,1.25,0,3
11,Elizabeth Beisel,Elizabeth,[],26,Saunderstown,RI,Olympic Medalist,Lairo,Vokai,Lumuwaku,12th Voted Out6th Jury MemberDay 30,8,9.0,False,False,False,12,True,7,3,5,0,13,12,4,7,1,4,3,0.25,0.0,0,1
12,Karishma Patel,Karishma,[],37,Houston,TX,Personal Injury Lawyer,Lairo,Lairo,Lumuwaku,13th Voted Out7th Jury MemberDay 32,22,8.0,False,False,False,13,True,7,2,6,0,14,13,3,10,0,5,5,0.15384615384615385,0.0,0,22
13,Elaine Stott,Elaine,[],41,Rockholds,KY,Factory Worker,Lairo,Vokai,Lumuwaku,14th Voted Out8th Jury MemberDay 35,8,7.0,False,False,False,14,True,7,3,7,1,15,14,4,10,0,7,3,0.8571428571428571,1.2857142857142858,0,8
14,Dan Spilo,Dan,[],48,Los Angeles,CA,Talent Manager,Vokai,Vokai,Lumuwaku,EjectedDay 36,5,6.0,False,False,False,15,True,7,5,8,0,16,14,6,8,0,5,3,0.3333333333333333,0.0,0,5
15,Janet Carbin,Janet,[],59,Palm Bay,FL,Chief Lifeguard,Vokai,Lairo,Lumuwaku,15th Voted Out9th Jury MemberDay 37,8,5.0,False,False,False,16,True,7,4,9,0,17,15,5,10,0,5,5,0.25,0.0,0,8
16,Lauren Beck,Lauren,[],29,Glendale,CA,Nanny,Vokai,Vokai,Lumuwaku,Eliminated10th Jury MemberDay 38,1,4.0,False,False,False,17,True,7,5,9,1,17,15,6,9,0,6,3,0.75,0.7777777777777778,0,1
17,Noura Salman,Noura,[],36,North Potomac,MD,Entrepreneur,Vokai,Lairo,Lumuwaku,SecondRunner-Up,6,3.0,False,False,True,18,True,7,4,10,3,19,15,5,9,1,7,2,1.411764705882353,2.0,0,6
18,Dean Kowalski,Dean,[],28,New York City,NY,Tech Salesman,Lairo,Lairo,Lumuwaku,Runner-Up,5,2.0,False,False,True,18,True,7,2,10,3,19,15,3,12,0,8,4,1.0,1.5,2,5
19,Tommy Sheehan,Tommy,[],26,Long Beach,NY,4th Grade Teacher,Vokai,Vokai,Lumuwaku,Sole Survivor,2,1.0,False,True,True,18,True,7,5,10,0,19,15,6,9,0,7,2,0.29411764705882354,0.0,8,2
